,mae,rmse,type
P-aeruginosa__Piperacillin with tazobactam__North West,0.5579861213662005,0.5854594034705325,direct
P-aeruginosa__Piperacillin with tazobactam__South East,0.7019348250985673,0.7801156686012587,direct
P-aeruginosa__Piperacillin with tazobactam__South West,0.26149533765180666,0.38565858607555126,direct
P-aeruginosa__Piperacillin with tazobactam__West Midlands,0.5600476327085665,0.6058480835358002,direct
P-aeruginosa__Piperacillin with tazobactam__Yorkshire and Humber,0.4427049670727691,0.4484342739434288,direct
S-pneumoniae__Macrolides__East Midlands,,,direct
S-pneumoniae__Macrolides__East of England,0.41039130664733464,0.4369428153621563,direct
S-pneumoniae__Macrolides__London,0.16310599637469037,0.20184489466566577,direct
S-pneumoniae__Macrolides__North East,,,direct
S-pneumoniae__Macrolides__North West,0.2963922461526755,0.33947605817431287,direct
S-pneumoniae__Macrolides__South East,0.8214162691102554,0.8847497055625007,direct
S-pneumoniae__Macrolides__South West,0.16348360172852078,0.187044235518865,direct
S-pneumoniae__Macrolides__West Midlands,0.30383743772153193,0.35100822243176155,direct
S-pneumoniae__Macrolides__Yorkshire and Humber,0.10437048027431502,0.12430682423578408,direct
S-pneumoniae__Penicillin__East Midlands,,,direct
S-pneumoniae__Penicillin__East of England,0.1413676584793965,0.14893631514533032,direct
S-pneumoniae__Penicillin__London,0.4158467457060766,0.4904568185858616,direct
S-pneumoniae__Penicillin__North East,,,direct
S-pneumoniae__Penicillin__North West,0.125559068527628,0.1371090433097094,direct
S-pneumoniae__Penicillin__South East,0.327142725027134,0.3797839643321589,direct
S-pneumoniae__Penicillin__South West,0.05198143956510233,0.06621316372379593,direct
S-pneumoniae__Penicillin__West Midlands,0.29836498376027804,0.3511703060974619,direct
S-pneumoniae__Penicillin__Yorkshire and Humber,0.1716735707215472,0.249504653384822,direct
e-faecalis__Glycopeptides__East Midlands,0.1394530574946809,0.15676122775879978,direct
e-faecalis__Glycopeptides__East of England,0.18936572420146217,0.22901830460854333,direct
e-faecalis__Glycopeptides__London,0.23326874293149924,0.31935085753140663,direct
e-faecalis__Glycopeptides__North East,0.1905634153808366,0.2000895011372808,direct
e-faecalis__Glycopeptides__North West,0.24360544087782116,0.33094236268864013,direct
e-faecalis__Glycopeptides__South East,0.4359868147059596,0.459525588006598,direct
e-faecalis__Glycopeptides__South West,0.2601830219362632,0.29269927140528734,direct
e-faecalis__Glycopeptides__West Midlands,0.18587312398487246,0.19967568982610467,direct
e-faecalis__Glycopeptides__Yorkshire and Humber,0.21526175248224982,0.233273457530154,direct
e-faecium__Glycopeptides__East Midlands,0.3285861629680785,0.41249423560777865,direct
e-faecium__Glycopeptides__East of England,0.30786777206615507,0.4097637070134179,direct
e-faecium__Glycopeptides__London,0.2733745584974382,0.324645691389898,direct
e-faecium__Glycopeptides__North East,0.4459083681376904,0.4953557125195762,direct
e-faecium__Glycopeptides__North West,0.2990729311029359,0.33287903216716624,direct
e-faecium__Glycopeptides__South East,0.5153506898791242,0.5286712834030416,direct
e-faecium__Glycopeptides__South West,0.338457598255953,0.37779177876024944,direct
e-faecium__Glycopeptides__West Midlands,0.6120093176399841,0.6263800063093008,direct
e-faecium__Glycopeptides__Yorkshire and Humber,0.35080959319876903,0.4044185413673076,direct
