,mae,rmse,type
K-pneumoniae__Gentamicin__North East,0.39825778742171736,0.46742136990811345,recursive
K-pneumoniae__Gentamicin__North West,0.3496521075188123,0.40157272514152315,recursive
K-pneumoniae__Gentamicin__South East,0.6167535016900508,0.686905833863976,recursive
K-pneumoniae__Gentamicin__South West,0.40995763456610573,0.45236833949813093,recursive
K-pneumoniae__Gentamicin__West Midlands,0.3511519442441193,0.42148462657478514,recursive
K-pneumoniae__Gentamicin__Yorkshire and Humber,0.49609869345116137,0.5271097857096734,recursive
K-pneumoniae__Piperacillin with tazobactam__East Midlands,0.555961292536345,0.588255040373004,recursive
K-pneumoniae__Piperacillin with tazobactam__East of England,0.4407489025752735,0.4815127853595706,recursive
K-pneumoniae__Piperacillin with tazobactam__London,0.48591651502273286,0.5192309189729587,recursive
K-pneumoniae__Piperacillin with tazobactam__North East,0.37647308395859386,0.4487779045131629,recursive
K-pneumoniae__Piperacillin with tazobactam__North West,0.5657890279858061,0.5848751041003878,recursive
K-pneumoniae__Piperacillin with tazobactam__South East,0.7139832706023472,0.7517621610157368,recursive
K-pneumoniae__Piperacillin with tazobactam__South West,0.6545190059089749,0.6688854327443458,recursive
K-pneumoniae__Piperacillin with tazobactam__West Midlands,0.5956871491254336,0.6065049317765794,recursive
K-pneumoniae__Piperacillin with tazobactam__Yorkshire and Humber,0.5629741542446902,0.5885278290862755,recursive
K-pneumoniae__Third Generation Cephalosporins__East Midlands,0.5136206198476955,0.5458393592977124,recursive
K-pneumoniae__Third Generation Cephalosporins__East of England,0.611101438156939,0.6232867695638614,recursive
K-pneumoniae__Third Generation Cephalosporins__London,0.46481628978308726,0.4987040043500726,recursive
K-pneumoniae__Third Generation Cephalosporins__North East,0.2632490668474319,0.3701391026355471,recursive
K-pneumoniae__Third Generation Cephalosporins__North West,0.4346423903025119,0.4797335290413625,recursive
K-pneumoniae__Third Generation Cephalosporins__South East,0.5419206074098066,0.5940878552747482,recursive
K-pneumoniae__Third Generation Cephalosporins__South West,0.3780919290944264,0.4292504323786585,recursive
K-pneumoniae__Third Generation Cephalosporins__West Midlands,0.31196013536677436,0.39259349051741116,recursive
K-pneumoniae__Third Generation Cephalosporins__Yorkshire and Humber,0.43230803185424677,0.48352815201853167,recursive
P-aeruginosa__Amikacin__East Midlands,0.30199440429333374,0.3496759667090504,recursive
P-aeruginosa__Amikacin__East of England,0.21200060517770086,0.25794821402864826,recursive
P-aeruginosa__Amikacin__London,0.3004201495066204,0.36080442161544657,recursive
P-aeruginosa__Amikacin__North East,0.19697682488327636,0.2201824295321543,recursive
P-aeruginosa__Amikacin__North West,0.26617351014512364,0.32865729403452754,recursive
P-aeruginosa__Amikacin__South East,0.5251375860115233,0.6413310675127766,recursive
P-aeruginosa__Amikacin__South West,0.3483541947570384,0.4081272084423841,recursive
P-aeruginosa__Amikacin__West Midlands,0.19272401915525403,0.22549538016509357,recursive
P-aeruginosa__Amikacin__Yorkshire and Humber,0.16554156847732882,0.1973208994729941,recursive
P-aeruginosa__Carbapenems__East Midlands,0.3085592800106121,0.38367640952403664,recursive
P-aeruginosa__Carbapenems__East of England,0.32198827244794714,0.38729853934316955,recursive
P-aeruginosa__Carbapenems__London,0.16492983482516402,0.20849444838854472,recursive
P-aeruginosa__Carbapenems__North East,0.13942495620708786,0.17881286220353168,recursive
P-aeruginosa__Carbapenems__North West,0.38904254988542003,0.4617435152952773,recursive
P-aeruginosa__Carbapenems__South East,0.5904823479796139,0.6728951822616609,recursive
P-aeruginosa__Carbapenems__South West,0.3214461376662795,0.3984416824921654,recursive
P-aeruginosa__Carbapenems__West Midlands,0.30300058250343215,0.3936769743056806,recursive
P-aeruginosa__Carbapenems__Yorkshire and Humber,0.27709580319501603,0.3374366223851687,recursive
P-aeruginosa__Ceftazidime__East Midlands,0.33533309953175255,0.3922986954498897,recursive
P-aeruginosa__Ceftazidime__East of England,0.19885215821647909,0.25664814328636226,recursive
P-aeruginosa__Ceftazidime__London,0.19648422351391426,0.2777365430022056,recursive
P-aeruginosa__Ceftazidime__North East,0.11655953240866651,0.1455830858083639,recursive
P-aeruginosa__Ceftazidime__North West,0.41076346936632185,0.46435078831653126,recursive
P-aeruginosa__Ceftazidime__South East,0.5115010684638182,0.605820874985153,recursive
P-aeruginosa__Ceftazidime__South West,0.2242909229733942,0.2962522757575589,recursive
P-aeruginosa__Ceftazidime__West Midlands,0.2556017677067458,0.33415015582791224,recursive
P-aeruginosa__Ceftazidime__Yorkshire and Humber,0.35181557607536007,0.44123132939700177,recursive
P-aeruginosa__Ciprofloxacin__East Midlands,0.3518544087119435,0.42441234267856015,recursive
P-aeruginosa__Ciprofloxacin__East of England,0.2729369123879488,0.34991757284020664,recursive
P-aeruginosa__Ciprofloxacin__London,0.23235943460375263,0.2723393260664088,recursive
P-aeruginosa__Ciprofloxacin__North East,0.14691275628647948,0.1743298737539255,recursive
P-aeruginosa__Ciprofloxacin__North West,0.3580204962512957,0.3972756380983322,recursive
P-aeruginosa__Ciprofloxacin__South East,0.7904510967587871,0.825621437038441,recursive
P-aeruginosa__Ciprofloxacin__South West,0.3098490547437246,0.38714488112152096,recursive
P-aeruginosa__Ciprofloxacin__West Midlands,0.2723566012840373,0.3656454686457954,recursive
P-aeruginosa__Ciprofloxacin__Yorkshire and Humber,0.2671991815486641,0.29920305209669457,recursive
P-aeruginosa__Piperacillin with tazobactam__East Midlands,0.3745865101259918,0.4569461664334689,recursive
P-aeruginosa__Piperacillin with tazobactam__East of England,0.26275123589688243,0.33534396406882344,recursive
P-aeruginosa__Piperacillin with tazobactam__London,0.22703800988571546,0.3053840708164007,recursive
P-aeruginosa__Piperacillin with tazobactam__North East,0.1709675666433978,0.21182227444244758,recursive
P-aeruginosa__Piperacillin with tazobactam__North West,0.4651349419943353,0.5142512943274951,recursive
P-aeruginosa__Piperacillin with tazobactam__South East,0.574657502424784,0.666179116118391,recursive
P-aeruginosa__Piperacillin with tazobactam__South West,0.27440717309175594,0.3483937077558784,recursive
P-aeruginosa__Piperacillin with tazobactam__West Midlands,0.389038049929081,0.4768982204853932,recursive
P-aeruginosa__Piperacillin with tazobactam__Yorkshire and Humber,0.4009868338713273,0.46254756268133723,recursive
S-pneumoniae__Macrolides__East Midlands,,,recursive
S-pneumoniae__Macrolides__East of England,0.3119659113867286,0.35679237818414133,recursive
S-pneumoniae__Macrolides__London,0.19460014995069833,0.22048040522896836,recursive
S-pneumoniae__Macrolides__North East,,,recursive
S-pneumoniae__Macrolides__North West,0.24764108751706154,0.28179101529010525,recursive
S-pneumoniae__Macrolides__South East,0.7293677981343182,0.7665010074555986,recursive
S-pneumoniae__Macrolides__South West,0.18389679006876253,0.21482508261633557,recursive
S-pneumoniae__Macrolides__West Midlands,0.2695405520236553,0.31846563338984335,recursive
S-pneumoniae__Macrolides__Yorkshire and Humber,0.09490722496839195,0.12189311197734416,recursive
S-pneumoniae__Penicillin__East Midlands,,,recursive
S-pneumoniae__Penicillin__East of England,0.10891018157037786,0.12736676605238764,recursive
S-pneumoniae__Penicillin__London,0.36403859648823617,0.4247543834506461,recursive
S-pneumoniae__Penicillin__North East,,,recursive
S-pneumoniae__Penicillin__North West,0.10700432075394366,0.13497186432578687,recursive
S-pneumoniae__Penicillin__South East,0.35221827830912933,0.4182068635621057,recursive
S-pneumoniae__Penicillin__South West,0.10743057910568868,0.13662521037768305,recursive
S-pneumoniae__Penicillin__West Midlands,0.24190040261219978,0.29602467364373397,recursive
S-pneumoniae__Penicillin__Yorkshire and Humber,0.16279294321624488,0.22869235995031462,recursive
e-faecalis__Glycopeptides__East Midlands,0.3014650125158819,0.38021552923478463,recursive
e-faecalis__Glycopeptides__East of England,0.24160943170731605,0.2913644319231195,recursive
e-faecalis__Glycopeptides__London,0.22345736484764578,0.29095076271486264,recursive
e-faecalis__Glycopeptides__North East,0.1833114186489776,0.19522645866433963,recursive
e-faecalis__Glycopeptides__North West,0.256620034031303,0.3224563877533425,recursive
e-faecalis__Glycopeptides__South East,0.41381583132484306,0.46158948049562976,recursive
e-faecalis__Glycopeptides__South West,0.21541504532978903,0.2590327220974154,recursive
e-faecalis__Glycopeptides__West Midlands,0.20393165259546361,0.2873504325548802,recursive
