,organism,antibiotic,region,date,forecast
170,E-coli,Co-amoxiclav,East of England,2025-09-01,41.515125
171,E-coli,Co-amoxiclav,East of England,2025-10-01,42.37929
172,E-coli,Co-amoxiclav,East of England,2025-11-01,42.71874
173,E-coli,Co-amoxiclav,East of England,2025-12-01,42.720703
174,E-coli,Co-amoxiclav,London,2025-07-01,44.24516
175,E-coli,Co-amoxiclav,London,2025-08-01,44.857586
176,E-coli,Co-amoxiclav,London,2025-09-01,44.853943
177,E-coli,Co-amoxiclav,London,2025-10-01,44.681877
178,E-coli,Co-amoxiclav,London,2025-11-01,43.947704
179,E-coli,Co-amoxiclav,London,2025-12-01,44.533005
180,E-coli,Co-amoxiclav,North East,2025-07-01,29.205376
181,E-coli,Co-amoxiclav,North East,2025-08-01,28.040846
182,E-coli,Co-amoxiclav,North East,2025-09-01,27.868574
183,E-coli,Co-amoxiclav,North East,2025-10-01,27.475292
184,E-coli,Co-amoxiclav,North East,2025-11-01,27.87833
185,E-coli,Co-amoxiclav,North East,2025-12-01,27.978338
186,E-coli,Co-amoxiclav,North West,2025-07-01,46.451313
187,E-coli,Co-amoxiclav,North West,2025-08-01,46.41147
188,E-coli,Co-amoxiclav,North West,2025-09-01,46.521935
189,E-coli,Co-amoxiclav,North West,2025-10-01,46.596336
190,E-coli,Co-amoxiclav,North West,2025-11-01,46.684002
191,E-coli,Co-amoxiclav,North West,2025-12-01,46.684002
192,E-coli,Co-amoxiclav,South East,2025-07-01,42.22893
193,E-coli,Co-amoxiclav,South East,2025-08-01,42.12666
194,E-coli,Co-amoxiclav,South East,2025-09-01,42.12173
195,E-coli,Co-amoxiclav,South East,2025-10-01,42.075462
196,E-coli,Co-amoxiclav,South East,2025-11-01,42.0834
197,E-coli,Co-amoxiclav,South East,2025-12-01,42.059956
198,E-coli,Co-amoxiclav,South West,2025-07-01,39.00159
199,E-coli,Co-amoxiclav,South West,2025-08-01,39.781834
200,E-coli,Co-amoxiclav,South West,2025-09-01,39.56538
201,E-coli,Co-amoxiclav,South West,2025-10-01,39.286034
202,E-coli,Co-amoxiclav,South West,2025-11-01,39.102135
203,E-coli,Co-amoxiclav,South West,2025-12-01,38.863937
204,E-coli,Co-amoxiclav,West Midlands,2025-07-01,47.943554
205,E-coli,Co-amoxiclav,West Midlands,2025-08-01,47.772263
206,E-coli,Co-amoxiclav,West Midlands,2025-09-01,47.558834
207,E-coli,Co-amoxiclav,West Midlands,2025-10-01,47.358456
208,E-coli,Co-amoxiclav,West Midlands,2025-11-01,47.439682
209,E-coli,Co-amoxiclav,West Midlands,2025-12-01,47.464947
210,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-07-01,46.824802
211,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-08-01,45.8539
212,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-09-01,45.944817
213,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-10-01,46.231007
214,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-11-01,46.364956
215,E-coli,Co-amoxiclav,Yorkshire and Humber,2025-12-01,46.440704
216,E-coli,Gentamicin,East Midlands,2025-07-01,10.45238
217,E-coli,Gentamicin,East Midlands,2025-08-01,10.665694
