,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month
66,East of England,Amikacin,2021-07-01,E-coli,2.35,E-coli__Amikacin__East of England,East of England,1.29,7
67,East of England,Amikacin,2021-08-01,E-coli,2.99,E-coli__Amikacin__East of England,East of England,1.3,8
68,East of England,Amikacin,2021-09-01,E-coli,3.63,E-coli__Amikacin__East of England,East of England,1.32,9
69,East of England,Amikacin,2021-10-01,E-coli,3.03,E-coli__Amikacin__East of England,East of England,1.35,10
70,East of England,Amikacin,2021-11-01,E-coli,2.18,E-coli__Amikacin__East of England,East of England,1.38,11
71,East of England,Amikacin,2021-12-01,E-coli,2.22,E-coli__Amikacin__East of England,East of England,1.42,12
72,East of England,Amikacin,2022-01-01,E-coli,2.71,E-coli__Amikacin__East of England,East of England,1.42,1
73,East of England,Amikacin,2022-02-01,E-coli,2.9,E-coli__Amikacin__East of England,East of England,1.44,2
74,East of England,Amikacin,2022-03-01,E-coli,2.85,E-coli__Amikacin__East of England,East of England,1.48,3
75,East of England,Amikacin,2022-04-01,E-coli,2.88,E-coli__Amikacin__East of England,East of England,1.5,4
76,East of England,Amikacin,2022-05-01,E-coli,2.91,E-coli__Amikacin__East of England,East of England,1.52,5
77,East of England,Amikacin,2022-06-01,E-coli,2.84,E-coli__Amikacin__East of England,East of England,1.53,6
78,East of England,Amikacin,2022-07-01,E-coli,3.03,E-coli__Amikacin__East of England,East of England,1.54,7
79,East of England,Amikacin,2022-08-01,E-coli,2.85,E-coli__Amikacin__East of England,East of England,1.54,8
80,East of England,Amikacin,2022-09-01,E-coli,1.94,E-coli__Amikacin__East of England,East of England,1.54,9
81,East of England,Amikacin,2022-10-01,E-coli,1.54,E-coli__Amikacin__East of England,East of England,1.54,10
82,East of England,Amikacin,2022-11-01,E-coli,2.19,E-coli__Amikacin__East of England,East of England,1.56,11
83,East of England,Amikacin,2022-12-01,E-coli,2.24,E-coli__Amikacin__East of England,East of England,1.63,12
84,East of England,Amikacin,2023-01-01,E-coli,3.12,E-coli__Amikacin__East of England,East of England,1.67,1
85,East of England,Amikacin,2023-02-01,E-coli,3.2,E-coli__Amikacin__East of England,East of England,1.71,2
86,East of England,Amikacin,2023-03-01,E-coli,3.86,E-coli__Amikacin__East of England,East of England,1.73,3
87,East of England,Amikacin,2023-04-01,E-coli,3.93,E-coli__Amikacin__East of England,East of England,1.74,4
88,East of England,Amikacin,2023-05-01,E-coli,3.77,E-coli__Amikacin__East of England,East of England,1.74,5
89,East of England,Amikacin,2023-06-01,E-coli,4.49,E-coli__Amikacin__East of England,East of England,1.75,6
90,East of England,Amikacin,2023-07-01,E-coli,4.12,E-coli__Amikacin__East of England,East of England,1.75,7
91,East of England,Amikacin,2023-08-01,E-coli,4.6,E-coli__Amikacin__East of England,East of England,1.75,8
92,East of England,Amikacin,2023-09-01,E-coli,4.81,E-coli__Amikacin__East of England,East of England,1.75,9
93,East of England,Amikacin,2023-10-01,E-coli,5.5,E-coli__Amikacin__East of England,East of England,1.74,10
94,East of England,Amikacin,2023-11-01,E-coli,4.79,E-coli__Amikacin__East of England,East of England,1.74,11
95,East of England,Amikacin,2023-12-01,E-coli,4.01,E-coli__Amikacin__East of England,East of England,1.68,12
96,East of England,Amikacin,2024-01-01,E-coli,3.33,E-coli__Amikacin__East of England,East of England,1.68,1
97,East of England,Amikacin,2024-02-01,E-coli,3.27,E-coli__Amikacin__East of England,East of England,1.68,2
98,East of England,Amikacin,2024-03-01,E-coli,3.89,E-coli__Amikacin__East of England,East of England,1.67,3
99,East of England,Amikacin,2024-04-01,E-coli,3.99,E-coli__Amikacin__East of England,East of England,1.68,4
100,East of England,Amikacin,2024-05-01,E-coli,4.04,E-coli__Amikacin__East of England,East of England,1.69,5
101,East of England,Amikacin,2024-06-01,E-coli,3.65,E-coli__Amikacin__East of England,East of England,1.68,6
102,East of England,Amikacin,2024-07-01,E-coli,3.19,E-coli__Amikacin__East of England,East of England,1.69,7
103,East of England,Amikacin,2024-08-01,E-coli,2.51,E-coli__Amikacin__East of England,East of England,1.68,8
104,East of England,Amikacin,2024-09-01,E-coli,2.22,E-coli__Amikacin__East of England,East of England,1.67,9
105,East of England,Amikacin,2024-10-01,E-coli,2.47,E-coli__Amikacin__East of England,East of England,1.67,10
106,East of England,Amikacin,2024-11-01,E-coli,3.5,E-coli__Amikacin__East of England,East of England,1.66,11
107,East of England,Amikacin,2024-12-01,E-coli,3.46,E-coli__Amikacin__East of England,East of England,1.66,12
108,East of England,Amikacin,2025-01-01,E-coli,2.9,E-coli__Amikacin__East of England,East of England,1.65,1
109,East of England,Amikacin,2025-02-01,E-coli,2.4,E-coli__Amikacin__East of England,East of England,1.62,2
110,East of England,Amikacin,2025-03-01,E-coli,2.62,E-coli__Amikacin__East of England,East of England,1.6,3
111,East of England,Amikacin,2025-04-01,E-coli,3.71,E-coli__Amikacin__East of England,East of England,1.58,4
112,East of England,Amikacin,2025-05-01,E-coli,3.7,E-coli__Amikacin__East of England,East of England,1.56,5
113,East of England,Amikacin,2025-06-01,E-coli,3.14,E-coli__Amikacin__East of England,East of England,1.55,6
114,London,Amikacin,2020-10-01,E-coli,2.47,E-coli__Amikacin__London,London,1.1,10
115,London,Amikacin,2020-11-01,E-coli,2.77,E-coli__Amikacin__London,London,1.07,11
116,London,Amikacin,2020-12-01,E-coli,4.17,E-coli__Amikacin__London,London,1.03,12
117,London,Amikacin,2021-01-01,E-coli,3.41,E-coli__Amikacin__London,London,1.02,1
118,London,Amikacin,2021-02-01,E-coli,2.52,E-coli__Amikacin__London,London,0.99,2
119,London,Amikacin,2021-03-01,E-coli,1.29,E-coli__Amikacin__London,London,0.96,3
120,London,Amikacin,2021-04-01,E-coli,1.49,E-coli__Amikacin__London,London,0.93,4
121,London,Amikacin,2021-05-01,E-coli,1.88,E-coli__Amikacin__London,London,0.94,5
122,London,Amikacin,2021-06-01,E-coli,1.79,E-coli__Amikacin__London,London,0.95,6
