time,resistance_pct,series
2023-09-01,0.17263616949955918,E-coli__Amikacin__West Midlands
2023-10-01,0.16934043251775044,E-coli__Amikacin__West Midlands
2023-11-01,0.17876808725959947,E-coli__Amikacin__West Midlands
2023-12-01,0.17914631707331663,E-coli__Amikacin__West Midlands
2024-01-01,0.14357098548919792,E-coli__Amikacin__West Midlands
2024-02-01,0.13015000303087676,E-coli__Amikacin__West Midlands
2024-03-01,0.1115076715825411,E-coli__Amikacin__West Midlands
2024-04-01,0.0906649635727399,E-coli__Amikacin__West Midlands
2024-05-01,0.13019818863466362,E-coli__Amikacin__West Midlands
2024-06-01,0.1384941935770319,E-coli__Amikacin__West Midlands
2024-07-01,0.23736368959756335,E-coli__Amikacin__West Midlands
2024-08-01,0.23586749686160297,E-coli__Amikacin__West Midlands
2024-09-01,0.2368887227936661,E-coli__Amikacin__West Midlands
2024-10-01,0.22982063464044158,E-coli__Amikacin__West Midlands
2024-11-01,0.2109905431214309,E-coli__Amikacin__West Midlands
2024-12-01,0.19412219012744306,E-coli__Amikacin__West Midlands
2025-01-01,0.20015860337780172,E-coli__Amikacin__West Midlands
2025-02-01,0.19076580560734055,E-coli__Amikacin__West Midlands
2025-03-01,0.18164756007308694,E-coli__Amikacin__West Midlands
2025-04-01,0.15787789368417476,E-coli__Amikacin__West Midlands
2025-05-01,0.1395571083987336,E-coli__Amikacin__West Midlands
2025-06-01,0.10081628662765027,E-coli__Amikacin__West Midlands
2023-01-01,0.11232025979409108,E-coli__Amikacin__Yorkshire and Humber
2023-02-01,0.1654190684307737,E-coli__Amikacin__Yorkshire and Humber
2023-03-01,0.1783265518946192,E-coli__Amikacin__Yorkshire and Humber
2023-04-01,0.18366625798725,E-coli__Amikacin__Yorkshire and Humber
2023-05-01,0.1813277986729392,E-coli__Amikacin__Yorkshire and Humber
2023-06-01,0.21495503973191166,E-coli__Amikacin__Yorkshire and Humber
2023-07-01,0.23093320561878053,E-coli__Amikacin__Yorkshire and Humber
2023-08-01,0.2352688072436858,E-coli__Amikacin__Yorkshire and Humber
2023-09-01,0.22973172598264224,E-coli__Amikacin__Yorkshire and Humber
2023-10-01,0.2289992147368207,E-coli__Amikacin__Yorkshire and Humber
2023-11-01,0.21748602900397362,E-coli__Amikacin__Yorkshire and Humber
2023-12-01,0.1807292282335759,E-coli__Amikacin__Yorkshire and Humber
2024-01-01,0.13714351559113283,E-coli__Amikacin__Yorkshire and Humber
2024-02-01,0.17773648216757224,E-coli__Amikacin__Yorkshire and Humber
2024-03-01,0.165469860810518,E-coli__Amikacin__Yorkshire and Humber
2024-04-01,0.13168918986944764,E-coli__Amikacin__Yorkshire and Humber
2024-05-01,0.14551423431916902,E-coli__Amikacin__Yorkshire and Humber
2024-06-01,0.1472320214306405,E-coli__Amikacin__Yorkshire and Humber
2024-07-01,0.208568827171242,E-coli__Amikacin__Yorkshire and Humber
2024-08-01,0.2253500271708764,E-coli__Amikacin__Yorkshire and Humber
2024-09-01,0.2456596571139447,E-coli__Amikacin__Yorkshire and Humber
2024-10-01,0.26169526350317596,E-coli__Amikacin__Yorkshire and Humber
2024-11-01,0.23874236082181852,E-coli__Amikacin__Yorkshire and Humber
2024-12-01,0.21260319869334618,E-coli__Amikacin__Yorkshire and Humber
2025-01-01,0.1803827926135842,E-coli__Amikacin__Yorkshire and Humber
2025-02-01,0.15158061081595944,E-coli__Amikacin__Yorkshire and Humber
2025-03-01,0.14997520122911673,E-coli__Amikacin__Yorkshire and Humber
2025-04-01,0.16351958785128376,E-coli__Amikacin__Yorkshire and Humber
2025-05-01,0.13360293933275308,E-coli__Amikacin__Yorkshire and Humber
2025-06-01,0.10296413531441917,E-coli__Amikacin__Yorkshire and Humber
2023-01-01,0.08049500275939153,E-coli__Carbapenems__East Midlands
2023-02-01,0.1419112998642222,E-coli__Carbapenems__East Midlands
2023-03-01,0.19135360133484536,E-coli__Carbapenems__East Midlands
2023-04-01,0.1946858104701021,E-coli__Carbapenems__East Midlands
2023-05-01,0.19050859850270535,E-coli__Carbapenems__East Midlands
2023-06-01,0.2032355663648625,E-coli__Carbapenems__East Midlands
2023-07-01,0.2330112431566194,E-coli__Carbapenems__East Midlands
2023-08-01,0.22315088079744066,E-coli__Carbapenems__East Midlands
2023-09-01,0.23444164475083631,E-coli__Carbapenems__East Midlands
2023-10-01,0.24073582549508274,E-coli__Carbapenems__East Midlands
2023-11-01,0.2564096122296351,E-coli__Carbapenems__East Midlands
2023-12-01,0.22666349778046513,E-coli__Carbapenems__East Midlands
2024-01-01,0.17822137043241393,E-coli__Carbapenems__East Midlands
2024-02-01,0.15287445536819777,E-coli__Carbapenems__East Midlands
2024-03-01,0.12479241852021175,E-coli__Carbapenems__East Midlands
2024-04-01,0.11853443000770414,E-coli__Carbapenems__East Midlands
2024-05-01,0.15819383365953987,E-coli__Carbapenems__East Midlands
2024-06-01,0.1942952262672477,E-coli__Carbapenems__East Midlands
2024-07-01,0.21595787649292603,E-coli__Carbapenems__East Midlands
2024-08-01,0.20853480285724013,E-coli__Carbapenems__East Midlands
2024-09-01,0.20227999610652356,E-coli__Carbapenems__East Midlands
2024-10-01,0.24597182220764102,E-coli__Carbapenems__East Midlands
2024-11-01,0.22029907308628147,E-coli__Carbapenems__East Midlands
