date,series_id,value
2022-09-01,E-coli__Amikacin__South East,2.38
2022-10-01,E-coli__Amikacin__South East,3.25
2022-11-01,E-coli__Amikacin__South East,3.21
2022-12-01,E-coli__Amikacin__South East,3.48
2023-01-01,E-coli__Amikacin__South East,3.37
2023-02-01,E-coli__Amikacin__South East,3.33
2023-03-01,E-coli__Amikacin__South East,3.0
2023-04-01,E-coli__Amikacin__South East,2.81
2023-05-01,E-coli__Amikacin__South East,3.16
2023-06-01,E-coli__Amikacin__South East,3.22
2023-07-01,E-coli__Amikacin__South East,3.0
2023-08-01,E-coli__Amikacin__South East,2.44
2023-09-01,E-coli__Amikacin__South East,2.82
2023-10-01,E-coli__Amikacin__South East,2.56
2023-11-01,E-coli__Amikacin__South East,2.23
2023-12-01,E-coli__Amikacin__South East,1.82
2024-01-01,E-coli__Amikacin__South East,1.81
2024-02-01,E-coli__Amikacin__South East,2.07
2024-03-01,E-coli__Amikacin__South East,2.29
2024-04-01,E-coli__Amikacin__South East,2.8
2024-05-01,E-coli__Amikacin__South East,3.3
2024-06-01,E-coli__Amikacin__South East,2.63
2024-07-01,E-coli__Amikacin__South East,2.85
2024-08-01,E-coli__Amikacin__South East,2.58
2024-09-01,E-coli__Amikacin__South East,3.08
2024-10-01,E-coli__Amikacin__South East,2.69
2024-11-01,E-coli__Amikacin__South East,2.35
2024-12-01,E-coli__Amikacin__South East,2.38
2025-01-01,E-coli__Amikacin__South East,2.58
2025-02-01,E-coli__Amikacin__South East,3.1
2025-03-01,E-coli__Amikacin__South East,2.69
2025-04-01,E-coli__Amikacin__South East,2.21
2025-05-01,E-coli__Amikacin__South East,1.71
2025-06-01,E-coli__Amikacin__South East,1.82
2021-10-01,E-coli__Amikacin__South West,0.76
2021-11-01,E-coli__Amikacin__South West,1.8
2021-12-01,E-coli__Amikacin__South West,1.7
2022-01-01,E-coli__Amikacin__South West,1.49
2022-02-01,E-coli__Amikacin__South West,0.67
2022-03-01,E-coli__Amikacin__South West,0.68
2022-04-01,E-coli__Amikacin__South West,0.68
2022-05-01,E-coli__Amikacin__South West,1.11
2022-06-01,E-coli__Amikacin__South West,1.23
2022-07-01,E-coli__Amikacin__South West,1.75
2022-08-01,E-coli__Amikacin__South West,1.8
2022-09-01,E-coli__Amikacin__South West,1.61
2022-10-01,E-coli__Amikacin__South West,1.43
2022-11-01,E-coli__Amikacin__South West,1.26
2022-12-01,E-coli__Amikacin__South West,1.55
2023-01-01,E-coli__Amikacin__South West,1.2
2023-02-01,E-coli__Amikacin__South West,1.04
2023-03-01,E-coli__Amikacin__South West,1.18
2023-04-01,E-coli__Amikacin__South West,1.89
2023-05-01,E-coli__Amikacin__South West,2.28
2023-06-01,E-coli__Amikacin__South West,2.75
2023-07-01,E-coli__Amikacin__South West,2.16
2023-08-01,E-coli__Amikacin__South West,1.86
2023-09-01,E-coli__Amikacin__South West,1.94
2023-10-01,E-coli__Amikacin__South West,1.91
2023-11-01,E-coli__Amikacin__South West,2.42
2023-12-01,E-coli__Amikacin__South West,2.36
2024-01-01,E-coli__Amikacin__South West,2.86
2024-02-01,E-coli__Amikacin__South West,1.98
2024-03-01,E-coli__Amikacin__South West,1.38
2024-04-01,E-coli__Amikacin__South West,1.24
2024-05-01,E-coli__Amikacin__South West,2.5
2024-06-01,E-coli__Amikacin__South West,2.35
2024-07-01,E-coli__Amikacin__South West,3.1
2024-08-01,E-coli__Amikacin__South West,2.51
2024-09-01,E-coli__Amikacin__South West,2.58
2024-10-01,E-coli__Amikacin__South West,2.04
2024-11-01,E-coli__Amikacin__South West,2.03
2024-12-01,E-coli__Amikacin__South West,2.03
2025-01-01,E-coli__Amikacin__South West,1.88
