,geography,stratum,organism,date,resistance_pct
223,East Midlands,Co-amoxiclav,E-coli,2025-02-01,41.06
224,East Midlands,Co-amoxiclav,E-coli,2025-03-01,41.33
225,East Midlands,Co-amoxiclav,E-coli,2025-04-01,42.91
226,East Midlands,Co-amoxiclav,E-coli,2025-05-01,43.39
227,East Midlands,Co-amoxiclav,E-coli,2025-06-01,43.83
228,East Midlands,Gentamicin,E-coli,2020-10-01,5.22
229,East Midlands,Gentamicin,E-coli,2020-11-01,5.24
230,East Midlands,Gentamicin,E-coli,2020-12-01,4.56
231,East Midlands,Gentamicin,E-coli,2021-01-01,5.12
232,East Midlands,Gentamicin,E-coli,2021-02-01,6.09
233,East Midlands,Gentamicin,E-coli,2021-03-01,7.68
234,East Midlands,Gentamicin,E-coli,2021-04-01,8.38
235,East Midlands,Gentamicin,E-coli,2021-05-01,8.69
236,East Midlands,Gentamicin,E-coli,2021-06-01,8.6
237,East Midlands,Gentamicin,E-coli,2021-07-01,8.53
238,East Midlands,Gentamicin,E-coli,2021-08-01,7.33
239,East Midlands,Gentamicin,E-coli,2021-09-01,6.41
240,East Midlands,Gentamicin,E-coli,2021-10-01,6.63
241,East Midlands,Gentamicin,E-coli,2021-11-01,6.54
242,East Midlands,Gentamicin,E-coli,2021-12-01,7.31
243,East Midlands,Gentamicin,E-coli,2022-01-01,7.91
244,East Midlands,Gentamicin,E-coli,2022-02-01,8.53
245,East Midlands,Gentamicin,E-coli,2022-03-01,8.23
246,East Midlands,Gentamicin,E-coli,2022-04-01,8.46
247,East Midlands,Gentamicin,E-coli,2022-05-01,9.05
248,East Midlands,Gentamicin,E-coli,2022-06-01,8.56
249,East Midlands,Gentamicin,E-coli,2022-07-01,9.08
250,East Midlands,Gentamicin,E-coli,2022-08-01,9.21
251,East Midlands,Gentamicin,E-coli,2022-09-01,9.35
252,East Midlands,Gentamicin,E-coli,2022-10-01,7.62
253,East Midlands,Gentamicin,E-coli,2022-11-01,7.41
254,East Midlands,Gentamicin,E-coli,2022-12-01,9.21
255,East Midlands,Gentamicin,E-coli,2023-01-01,8.58
256,East Midlands,Gentamicin,E-coli,2023-02-01,7.53
257,East Midlands,Gentamicin,E-coli,2023-03-01,5.61
258,East Midlands,Gentamicin,E-coli,2023-04-01,6.36
259,East Midlands,Gentamicin,E-coli,2023-05-01,7.64
260,East Midlands,Gentamicin,E-coli,2023-06-01,8.63
261,East Midlands,Gentamicin,E-coli,2023-07-01,9.04
262,East Midlands,Gentamicin,E-coli,2023-08-01,8.88
263,East Midlands,Gentamicin,E-coli,2023-09-01,8.92
264,East Midlands,Gentamicin,E-coli,2023-10-01,8.96
265,East Midlands,Gentamicin,E-coli,2023-11-01,9.69
266,East Midlands,Gentamicin,E-coli,2023-12-01,8.66
267,East Midlands,Gentamicin,E-coli,2024-01-01,9.97
268,East Midlands,Gentamicin,E-coli,2024-02-01,10.45
269,East Midlands,Gentamicin,E-coli,2024-03-01,11.68
270,East Midlands,Gentamicin,E-coli,2024-04-01,11.76
271,East Midlands,Gentamicin,E-coli,2024-05-01,10.46
272,East Midlands,Gentamicin,E-coli,2024-06-01,10.54
273,East Midlands,Gentamicin,E-coli,2024-07-01,10.12
274,East Midlands,Gentamicin,E-coli,2024-08-01,9.84
275,East Midlands,Gentamicin,E-coli,2024-09-01,9.01
276,East Midlands,Gentamicin,E-coli,2024-10-01,8.61
277,East Midlands,Gentamicin,E-coli,2024-11-01,9.71
278,East Midlands,Gentamicin,E-coli,2024-12-01,10.38
279,East Midlands,Gentamicin,E-coli,2025-01-01,10.09
280,East Midlands,Gentamicin,E-coli,2025-02-01,11.41
281,East Midlands,Gentamicin,E-coli,2025-03-01,11.11
282,East Midlands,Gentamicin,E-coli,2025-04-01,11.92
283,East Midlands,Gentamicin,E-coli,2025-05-01,10.3
284,East Midlands,Gentamicin,E-coli,2025-06-01,9.68
285,East Midlands,Piperacillin with tazobactam,E-coli,2020-10-01,4.85
286,East Midlands,Piperacillin with tazobactam,E-coli,2020-11-01,5.85
287,East Midlands,Piperacillin with tazobactam,E-coli,2020-12-01,6.02
288,East Midlands,Piperacillin with tazobactam,E-coli,2021-01-01,7.37
289,East Midlands,Piperacillin with tazobactam,E-coli,2021-02-01,7.74
290,East Midlands,Piperacillin with tazobactam,E-coli,2021-03-01,7.94
291,East Midlands,Piperacillin with tazobactam,E-coli,2021-04-01,9.6
292,East Midlands,Piperacillin with tazobactam,E-coli,2021-05-01,10.14
293,East Midlands,Piperacillin with tazobactam,E-coli,2021-06-01,10.34
294,East Midlands,Piperacillin with tazobactam,E-coli,2021-07-01,8.04
295,East Midlands,Piperacillin with tazobactam,E-coli,2021-08-01,7.75
296,East Midlands,Piperacillin with tazobactam,E-coli,2021-09-01,8.6
297,East Midlands,Piperacillin with tazobactam,E-coli,2021-10-01,10.18
298,East Midlands,Piperacillin with tazobactam,E-coli,2021-11-01,10.7
299,East Midlands,Piperacillin with tazobactam,E-coli,2021-12-01,9.16
300,East Midlands,Piperacillin with tazobactam,E-coli,2022-01-01,8.92
301,East Midlands,Piperacillin with tazobactam,E-coli,2022-02-01,8.89
302,East Midlands,Piperacillin with tazobactam,E-coli,2022-03-01,9.16
303,East Midlands,Piperacillin with tazobactam,E-coli,2022-04-01,8.98
304,East Midlands,Piperacillin with tazobactam,E-coli,2022-05-01,9.09
305,East Midlands,Piperacillin with tazobactam,E-coli,2022-06-01,10.41
306,East Midlands,Piperacillin with tazobactam,E-coli,2022-07-01,11.62
307,East Midlands,Piperacillin with tazobactam,E-coli,2022-08-01,11.39
308,East Midlands,Piperacillin with tazobactam,E-coli,2022-09-01,11.48
309,East Midlands,Piperacillin with tazobactam,E-coli,2022-10-01,11.03
310,East Midlands,Piperacillin with tazobactam,E-coli,2022-11-01,11.08
311,East Midlands,Piperacillin with tazobactam,E-coli,2022-12-01,10.03
312,East Midlands,Piperacillin with tazobactam,E-coli,2023-01-01,8.8
313,East Midlands,Piperacillin with tazobactam,E-coli,2023-02-01,10.13
314,East Midlands,Piperacillin with tazobactam,E-coli,2023-03-01,11.28
315,East Midlands,Piperacillin with tazobactam,E-coli,2023-04-01,13.6
316,East Midlands,Piperacillin with tazobactam,E-coli,2023-05-01,11.6
317,East Midlands,Piperacillin with tazobactam,E-coli,2023-06-01,11.05
318,East Midlands,Piperacillin with tazobactam,E-coli,2023-07-01,10.75
319,East Midlands,Piperacillin with tazobactam,E-coli,2023-08-01,12.29
320,East Midlands,Piperacillin with tazobactam,E-coli,2023-09-01,12.33
321,East Midlands,Piperacillin with tazobactam,E-coli,2023-10-01,12.17
322,East Midlands,Piperacillin with tazobactam,E-coli,2023-11-01,12.09
323,East Midlands,Piperacillin with tazobactam,E-coli,2023-12-01,12.01
324,East Midlands,Piperacillin with tazobactam,E-coli,2024-01-01,11.69
325,East Midlands,Piperacillin with tazobactam,E-coli,2024-02-01,12.48
326,East Midlands,Piperacillin with tazobactam,E-coli,2024-03-01,12.67
327,East Midlands,Piperacillin with tazobactam,E-coli,2024-04-01,12.98
328,East Midlands,Piperacillin with tazobactam,E-coli,2024-05-01,11.63
329,East Midlands,Piperacillin with tazobactam,E-coli,2024-06-01,11.97
330,East Midlands,Piperacillin with tazobactam,E-coli,2024-07-01,11.98
331,East Midlands,Piperacillin with tazobactam,E-coli,2024-08-01,11.0
332,East Midlands,Piperacillin with tazobactam,E-coli,2024-09-01,9.86
333,East Midlands,Piperacillin with tazobactam,E-coli,2024-10-01,9.32
334,East Midlands,Piperacillin with tazobactam,E-coli,2024-11-01,11.21
335,East Midlands,Piperacillin with tazobactam,E-coli,2024-12-01,12.73
336,East Midlands,Piperacillin with tazobactam,E-coli,2025-01-01,13.53
337,East Midlands,Piperacillin with tazobactam,E-coli,2025-02-01,12.7
338,East Midlands,Piperacillin with tazobactam,E-coli,2025-03-01,12.89
339,East Midlands,Piperacillin with tazobactam,E-coli,2025-04-01,12.55
340,East Midlands,Piperacillin with tazobactam,E-coli,2025-05-01,11.65
341,East Midlands,Piperacillin with tazobactam,E-coli,2025-06-01,11.98
342,East Midlands,Third Generation Cephalosporins,E-coli,2020-10-01,8.67
343,East Midlands,Third Generation Cephalosporins,E-coli,2020-11-01,10.03
344,East Midlands,Third Generation Cephalosporins,E-coli,2020-12-01,9.82
345,East Midlands,Third Generation Cephalosporins,E-coli,2021-01-01,8.93
