date,value,series_id,is_forecast,model
2025-09-01,1.8741512108719887,E-coli__Amikacin__London,True,tcn
2025-10-01,1.8736711562960315,E-coli__Amikacin__London,True,tcn
2025-11-01,1.8776916045320622,E-coli__Amikacin__London,True,tcn
2025-12-01,1.8865464221168822,E-coli__Amikacin__London,True,tcn
2020-10-01,5.0,E-coli__Amikacin__North East,False,tcn
2020-11-01,4.0,E-coli__Amikacin__North East,False,tcn
2020-12-01,3.33,E-coli__Amikacin__North East,False,tcn
2021-01-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-02-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-03-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-04-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-05-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-06-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-07-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-08-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-09-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-10-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-11-01,0.0,E-coli__Amikacin__North East,False,tcn
2021-12-01,0.0,E-coli__Amikacin__North East,False,tcn
2022-01-01,0.0,E-coli__Amikacin__North East,False,tcn
2022-02-01,1.08,E-coli__Amikacin__North East,False,tcn
2022-03-01,0.93,E-coli__Amikacin__North East,False,tcn
2022-04-01,0.89,E-coli__Amikacin__North East,False,tcn
2022-05-01,0.0,E-coli__Amikacin__North East,False,tcn
2022-06-01,0.0,E-coli__Amikacin__North East,False,tcn
2022-07-01,0.0,E-coli__Amikacin__North East,False,tcn
2022-08-01,0.68,E-coli__Amikacin__North East,False,tcn
2022-09-01,1.24,E-coli__Amikacin__North East,False,tcn
2022-10-01,1.34,E-coli__Amikacin__North East,False,tcn
2022-11-01,1.29,E-coli__Amikacin__North East,False,tcn
2022-12-01,0.67,E-coli__Amikacin__North East,False,tcn
