date,baseline,series_id,minus20,plus20,model
2025-08-01,13.07153,E-coli__Ciprofloxacin__South West,13.07153,13.07153,xgb
2025-09-01,14.382784,E-coli__Ciprofloxacin__South West,14.382784,14.512203,xgb
2025-10-01,14.365166,E-coli__Ciprofloxacin__South West,14.365166,14.569958,xgb
2025-11-01,13.491123,E-coli__Ciprofloxacin__South West,13.491123,13.714321,xgb
2025-12-01,13.130907,E-coli__Ciprofloxacin__South West,13.130907,13.410044,xgb
2025-07-01,20.903015,E-coli__Ciprofloxacin__West Midlands,20.903015,20.903015,xgb
2025-08-01,20.875147,E-coli__Ciprofloxacin__West Midlands,20.875147,20.87145,xgb
2025-09-01,21.390324,E-coli__Ciprofloxacin__West Midlands,21.390324,21.382656,xgb
2025-10-01,21.34923,E-coli__Ciprofloxacin__West Midlands,21.34923,21.348146,xgb
2025-11-01,20.625751,E-coli__Ciprofloxacin__West Midlands,20.625751,20.624668,xgb
2025-12-01,20.341173,E-coli__Ciprofloxacin__West Midlands,20.341173,20.34009,xgb
2025-07-01,19.418705,E-coli__Ciprofloxacin__Yorkshire and Humber,19.418705,19.418705,xgb
2025-08-01,19.264893,E-coli__Ciprofloxacin__Yorkshire and Humber,19.264893,19.264893,xgb
2025-09-01,18.687094,E-coli__Ciprofloxacin__Yorkshire and Humber,18.687094,18.687769,xgb
2025-10-01,18.606298,E-coli__Ciprofloxacin__Yorkshire and Humber,18.606298,18.60636,xgb
2025-11-01,18.62496,E-coli__Ciprofloxacin__Yorkshire and Humber,18.62496,18.625021,xgb
2025-12-01,18.622448,E-coli__Ciprofloxacin__Yorkshire and Humber,18.622448,18.622509,xgb
2025-07-01,42.93673,E-coli__Co-amoxiclav__East Midlands,42.93673,42.93673,xgb
2025-08-01,41.82914,E-coli__Co-amoxiclav__East Midlands,41.82914,41.82914,xgb
2025-09-01,41.754013,E-coli__Co-amoxiclav__East Midlands,41.754013,41.754013,xgb
2025-10-01,41.715786,E-coli__Co-amoxiclav__East Midlands,41.715786,41.715786,xgb
2025-11-01,41.71689,E-coli__Co-amoxiclav__East Midlands,41.71689,41.71689,xgb
2025-12-01,41.902866,E-coli__Co-amoxiclav__East Midlands,41.902866,41.902866,xgb
2025-07-01,41.44737,E-coli__Co-amoxiclav__East of England,41.44737,41.44737,xgb
2025-08-01,40.027317,E-coli__Co-amoxiclav__East of England,40.027317,40.027317,xgb
2025-09-01,40.198948,E-coli__Co-amoxiclav__East of England,40.198948,40.198948,xgb
2025-10-01,41.069904,E-coli__Co-amoxiclav__East of England,41.069904,41.069973,xgb
2025-11-01,41.049255,E-coli__Co-amoxiclav__East of England,41.049255,41.049324,xgb
2025-12-01,41.54334,E-coli__Co-amoxiclav__East of England,41.54334,41.543407,xgb
2025-07-01,44.863026,E-coli__Co-amoxiclav__London,44.863026,44.863026,xgb
2025-08-01,42.160873,E-coli__Co-amoxiclav__London,42.160873,42.160873,xgb
2025-09-01,42.5664,E-coli__Co-amoxiclav__London,42.5664,42.5664,xgb
2025-10-01,42.077892,E-coli__Co-amoxiclav__London,42.077892,42.077892,xgb
2025-11-01,42.203297,E-coli__Co-amoxiclav__London,42.203297,42.203297,xgb
2025-12-01,41.69913,E-coli__Co-amoxiclav__London,41.69913,41.09905,xgb
2025-07-01,30.01112,E-coli__Co-amoxiclav__North East,30.01112,30.01112,xgb
2025-08-01,29.340267,E-coli__Co-amoxiclav__North East,29.340267,29.340267,xgb
2025-09-01,29.955978,E-coli__Co-amoxiclav__North East,29.955978,29.95369,xgb
2025-10-01,29.331108,E-coli__Co-amoxiclav__North East,29.331108,29.32948,xgb
2025-11-01,36.116516,E-coli__Co-amoxiclav__North East,36.116516,36.116295,xgb
2025-12-01,36.81245,E-coli__Co-amoxiclav__North East,36.81245,36.81512,xgb
2025-07-01,46.406628,E-coli__Co-amoxiclav__North West,46.406628,46.406628,xgb
2025-08-01,46.27974,E-coli__Co-amoxiclav__North West,46.27974,46.27974,xgb
