date,series_id,value,is_forecast,model
2025-09-01,E-coli__Amikacin__North East,0.7570227384567261,True,xgb
2025-10-01,E-coli__Amikacin__North East,1.1105868816375732,True,xgb
2025-11-01,E-coli__Amikacin__North East,1.6443936824798584,True,xgb
2025-12-01,E-coli__Amikacin__North East,2.001321792602539,True,xgb
2021-10-01,E-coli__Amikacin__North West,1.61,False,xgb
2021-11-01,E-coli__Amikacin__North West,1.85,False,xgb
2021-12-01,E-coli__Amikacin__North West,2.58,False,xgb
2022-01-01,E-coli__Amikacin__North West,2.86,False,xgb
2022-02-01,E-coli__Amikacin__North West,2.9,False,xgb
2022-03-01,E-coli__Amikacin__North West,2.34,False,xgb
2022-04-01,E-coli__Amikacin__North West,2.12,False,xgb
2022-05-01,E-coli__Amikacin__North West,1.83,False,xgb
2022-06-01,E-coli__Amikacin__North West,2.48,False,xgb
2022-07-01,E-coli__Amikacin__North West,2.91,False,xgb
2022-08-01,E-coli__Amikacin__North West,3.79,False,xgb
2022-09-01,E-coli__Amikacin__North West,3.24,False,xgb
2022-10-01,E-coli__Amikacin__North West,2.78,False,xgb
2022-11-01,E-coli__Amikacin__North West,3.0,False,xgb
2022-12-01,E-coli__Amikacin__North West,4.25,False,xgb
2023-01-01,E-coli__Amikacin__North West,4.77,False,xgb
2023-02-01,E-coli__Amikacin__North West,4.45,False,xgb
2023-03-01,E-coli__Amikacin__North West,2.8,False,xgb
2023-04-01,E-coli__Amikacin__North West,2.46,False,xgb
2023-05-01,E-coli__Amikacin__North West,2.91,False,xgb
2023-06-01,E-coli__Amikacin__North West,3.44,False,xgb
2023-07-01,E-coli__Amikacin__North West,3.23,False,xgb
2023-08-01,E-coli__Amikacin__North West,2.69,False,xgb
2023-09-01,E-coli__Amikacin__North West,2.43,False,xgb
2023-10-01,E-coli__Amikacin__North West,3.34,False,xgb
2023-11-01,E-coli__Amikacin__North West,4.09,False,xgb
2023-12-01,E-coli__Amikacin__North West,4.57,False,xgb
2024-01-01,E-coli__Amikacin__North West,4.12,False,xgb
2024-02-01,E-coli__Amikacin__North West,3.8,False,xgb
2024-03-01,E-coli__Amikacin__North West,3.27,False,xgb
2024-04-01,E-coli__Amikacin__North West,3.5,False,xgb
2024-05-01,E-coli__Amikacin__North West,3.08,False,xgb
